iso,year,GDP,SOURCE_GDP,POP,SOURCE_POP,SOURCE_SH_PRIM,SOURCE_SH_SECD,SH_PRIM,SH_SECD
MMR,1827,,,3605.399902,MADDISON_IPO,,,,
SOM,1827,,,1077.427124,MADDISON_IPO,,,,
ADEN,1827,,,2627.580078,MADDISON_IPO,,,,
MOZ,1827,,,2319.700684,MADDISON_IPO,,,,
PRI,1827,,,305.6333313,MADDISON_IPO,,,,
ZOLL,1827,216131952,DEU FREMDLING,27249,MADDISON,,,,
BEL,1827,,,3652,MADDISON,,,,
PER,1827,,,1476.599976,MADDISON_IPO,,,,
COL,1827,,,1406.43335,MADDISON_IPO,,,,
ECU,1827,,,573.7333374,MADDISON_IPO,,,,
NPL,1827,,,3990.899902,MADDISON_IPO,,,,
JAM,1827,,,400.5333252,MADDISON_IPO,,,,
BGR,1827,,,2260.033447,MADDISON_IPO,,,,
NLD,1827,39475852,GGDC,2561,MADDISON,GGDC,GGDC,24.19390297,28.6119194
JOR,1827,,,223.8600006,MADDISON_IPO,,,,
DOM,1827,,,102.3000031,MADDISON_IPO,,,,
CHL,1827,11253629,CHL DIAZ,903.8070068,MADDISON,,,,
ARG,1827,,,666.0666504,MADDISON_IPO,,,,
KOR,1827,,,9430,MADDISON_IPO,,,,
CRI,1827,,,71.8666687,MADDISON_IPO,,,,
AUS,1827,1500000,MITC,328,MADDISON,,,,
AUTHUN,1827,,,3486,MADDISON,,,,
HTI,1827,,,773.166687,MADDISON_IPO,,,,
GBRIND,1827,,,214967.2969,MADDISON,,,,
SYR,1827,,,1371.300049,MADDISON_IPO,,,,
HKG,1827,,,23.03333282,MADDISON_IPO,,,,
USSR,1827,,,59194.83203,MADDISON_IPO,,,,
LAO,1827,,,509.8999939,MADDISON_IPO,,,,
AFG,1827,,,3409.780029,MADDISON_IPO,,,,
VEN,1827,,,859.4000244,MADDISON_IPO,,,,
FRA,1827,410018720,FRA TOUTAIN,32727,MADDISON,GGDC,GGDC,38.73863602,38.93291473
SDN,1827,,,5311.892578,MADDISON_IPO,,,,
TWN,1827,,,2046.666626,MADDISON_IPO,,,,
SWE,1827,18923410,SWE EDVINSSON,2816,MADDISON,GGDC,GGDC,39.84750366,19.76687241
HUN,1827,,,4382.833496,MADDISON_IPO,,,,
GRC,1827,,,2465,MADDISON,,,,
ALB,1827,,,451.7000122,MADDISON_IPO,,,,
VNM,1827,,,7107.779785,MADDISON_IPO,,,,
IRN,1827,,,6819.700195,MADDISON_IPO,,,,
IRQ,1827,,,1161.180054,MADDISON_IPO,,,,
GBR,1827,388485408,GBR BROADBERRY,23275,MADDISON,GBR BROADBERRY,GBR BROADBERRY,22.10000038,36.40000153
JPN,1827,,,31230.50195,MADDISON,,,,
IRL,1827,,,7612,MADDISON,,,,
SAU,1827,,,2125.580078,MADDISON_IPO,,,,
ITA,1827,,,21103,MADDISON,,,,
CHN,1827,,,400390.5313,MADDISON,,,,
MYS,1827,,,343.7000122,MADDISON_IPO,,,,
MEX,1827,,,6837.833496,MADDISON_IPO,,,,
GTM,1827,,,654.5,MADDISON_IPO,,,,
LBN,1827,,,352.1600037,MADDISON_IPO,,,,
KHM,1827,,,2125,MADDISON_IPO,,,,
DZA,1827,,,2841.179932,MADDISON_IPO,,,,
ROM,1827,,,6764.899902,MADDISON_IPO,,,,
DNK,1827,9095833,MITC,1255,MADDISON,,,,
BOL,1827,,,1163.93335,MADDISON_IPO,,,,
TUN,1827,,,917.1400146,MADDISON_IPO,,,,
POL,1827,,,11026.59961,MADDISON_IPO,,,,
NOR,1827,7095988,MADGOOD,1079,MADDISON,,,,
NZL,1827,,,100,MADDISON_IPO,,,,
LKA,1827,,,1447.266724,MADDISON_IPO,,,,
THA,1827,,,4796.833496,MADDISON_IPO,,,,
TTO,1827,,,64.66666412,MADDISON_IPO,,,,
IDN,1827,,,18995.80078,MADDISON,,,,
PRY,1827,,,191.3000031,MADDISON_IPO,,,,
MAR,1827,,,2841.179932,MADDISON_IPO,,,,
HND,1827,,,185.1666718,MADDISON_IPO,,,,
EGY,1827,,,4593.700195,MADDISON_IPO,,,,
ESP,1827,93986280,ESP ALVAREZ,12784,MADDISON,,,,
PRK,1827,,,4368.240234,MADDISON_IPO,,,,
NIC,1827,,,212.6000061,MADDISON_IPO,,,,
MDG,1827,,,1841.169678,MADDISON_IPO,,,,
USA,1827,185581600,USA MEASURING,12250.90527,MADDISON,,,,
MNG,1827,,,625.8599854,MADDISON_IPO,,,,
LBY,1827,,,560.793335,MADDISON_IPO,,,,
CAN,1827,,,1063.099976,MADDISON_IPO,,,,
OTTO,1827,,,10314.66016,MADDISON_IPO,,,,
CHE,1827,,,2065,MADDISON,,,,
OMN,1827,,,324.8599854,MADDISON_IPO,,,,
URY,1827,,,72.96666718,MADDISON_IPO,,,,
PAN,1827,,,31.5,MADDISON_IPO,,,,
SLV,1827,,,275.5333252,MADDISON_IPO,,,,
FIN,1827,,,1310,MADDISON,,,,
PHL,1827,,,2511.06665,MADDISON_IPO,,,,
PRT,1827,39217220,PRT PALMA,3432,MADDISON,,,,
ZAF,1827,,,1689.579956,MADDISON_IPO,,,,
BRA,1827,,,5143.299805,MADDISON_IPO,,,,
CUB,1827,,,740.5666504,MADDISON_IPO,,,,
SGP,1827,,,36.06666565,MADDISON_IPO,,,,
BOL,1828,,,1173.06665,MADDISON_IPO,,,,
SAU,1828,,,2130.52002,MADDISON_IPO,,,,
TWN,1828,,,2053.333252,MADDISON_IPO,,,,
DNK,1828,9418920,MITC,1265,MADDISON,,,,
BRA,1828,,,5234.200195,MADDISON_IPO,,,,
KHM,1828,,,2130,MADDISON_IPO,,,,
FIN,1828,,,1326,MADDISON,,,,
CUB,1828,,,759.9333496,MADDISON_IPO,,,,
SLV,1828,,,279.4666748,MADDISON_IPO,,,,
SYR,1828,,,1376.199951,MADDISON_IPO,,,,
BGR,1828,,,2270.466553,MADDISON_IPO,,,,
CHN,1828,,,403240.0313,MADDISON,,,,
MYS,1828,,,351.7999878,MADDISON_IPO,,,,
PHL,1828,,,2558.93335,MADDISON_IPO,,,,
URY,1828,,,75.53333282,MADDISON_IPO,,,,
NZL,1828,,,100,MADDISON_IPO,,,,
AUTHUN,1828,,,3504,MADDISON,,,,
BEL,1828,,,3685,MADDISON,,,,
MDG,1828,,,1863.765381,MADDISON_IPO,,,,
CHE,1828,,,2077,MADDISON,,,,
GBR,1828,386408256,GBR BROADBERRY,23560,MADDISON,GBR BROADBERRY,GBR BROADBERRY,22.10000038,36.40000153
PRY,1828,,,198.1999969,MADDISON_IPO,,,,
CAN,1828,,,1098.400024,MADDISON_IPO,,,,
MNG,1828,,,626.8400269,MADDISON_IPO,,,,
GTM,1828,,,663,MADDISON_IPO,,,,
DOM,1828,,,104.1999969,MADDISON_IPO,,,,
LBN,1828,,,355.0400085,MADDISON_IPO,,,,
GBRIND,1828,,,215833.5625,MADDISON,,,,
FRA,1828,413936128,FRA TOUTAIN,32917,MADDISON,GGDC,GGDC,39.17470932,38.3755188
SOM,1828,,,1088.488159,MADDISON_IPO,,,,
LKA,1828,,,1480.733276,MADDISON_IPO,,,,
JOR,1828,,,224.8399963,MADDISON_IPO,,,,
MAR,1828,,,2862.919922,MADDISON_IPO,,,,
ALB,1828,,,453.7999878,MADDISON_IPO,,,,
MMR,1828,,,3619.600098,MADDISON_IPO,,,,
PRK,1828,,,4371.560059,MADDISON_IPO,,,,
ESP,1828,97653640,ESP ALVAREZ,12869,MADDISON,,,,
AFG,1828,,,3428.320068,MADDISON_IPO,,,,
MEX,1828,,,6873.666504,MADDISON_IPO,,,,
JPN,1828,,,31263.57031,MADDISON,,,,
JAM,1828,,,400.4666748,MADDISON_IPO,,,,
IRL,1828,,,7683,MADDISON,,,,
HKG,1828,,,23.46666718,MADDISON_IPO,,,,
ITA,1828,,,21239,MADDISON,,,,
IDN,1828,,,19153.60352,MADDISON,,,,
VNM,1828,,,7187.319824,MADDISON_IPO,,,,
TTO,1828,,,65.33333588,MADDISON_IPO,,,,
IRQ,1828,,,1170.920044,MADDISON_IPO,,,,
HUN,1828,,,4416.666504,MADDISON_IPO,,,,
IRN,1828,,,6856.799805,MADDISON_IPO,,,,
MOZ,1828,,,2351.657959,MADDISON_IPO,,,,
LAO,1828,,,515.5999756,MADDISON_IPO,,,,
PRT,1828,37515112,PRT PALMA,3452,MADDISON,,,,
NPL,1828,,,4006.600098,MADDISON_IPO,,,,
HTI,1828,,,780.333313,MADDISON_IPO,,,,
EGY,1828,,,4650.799805,MADDISON_IPO,,,,
USSR,1828,,,59827.66797,MADDISON_IPO,,,,
LBY,1828,,,564.0495605,MADDISON_IPO,,,,
USA,1828,182001296,USA MEASURING,12580.58984,MADDISON,,,,
OTTO,1828,,,10349.04004,MADDISON_IPO,,,,
SGP,1828,,,36.93333435,MADDISON_IPO,,,,
THA,1828,,,4815.666504,MADDISON_IPO,,,,
PER,1828,,,1499.400024,MADDISON_IPO,,,,
NIC,1828,,,216.3999939,MADDISON_IPO,,,,
PAN,1828,,,36,MADDISON_IPO,,,,
OMN,1828,,,325.8399963,MADDISON_IPO,,,,
HND,1828,,,192.3333282,MADDISON_IPO,,,,
POL,1828,,,11112.40039,MADDISON_IPO,,,,
TUN,1828,,,923.1599731,MADDISON_IPO,,,,
NLD,1828,38885004,GGDC,2585,MADDISON,GGDC,GGDC,21.81123543,29.5093174
PRI,1828,,,313.8666687,MADDISON_IPO,,,,
KOR,1828,,,9435,MADDISON_IPO,,,,
ZOLL,1828,228182800,DEU FREMDLING,27540,MADDISON,,,,
DZA,1828,,,2862.919922,MADDISON_IPO,,,,
SWE,1828,19550126,SWE EDVINSSON,2837,MADDISON,GGDC,GGDC,41.38830185,18.47081184
NOR,1828,6771824.5,MADGOOD,1093,MADDISON,,,,
SDN,1828,,,5334.163086,MADDISON_IPO,,,,
ROM,1828,,,6818.600098,MADDISON_IPO,,,,
CRI,1828,,,73.1333313,MADDISON_IPO,,,,
ADEN,1828,,,2632.52002,MADDISON_IPO,,,,
VEN,1828,,,879.5999756,MADDISON_IPO,,,,
ARG,1828,,,684.9333496,MADDISON_IPO,,,,
ZAF,1828,,,1709.52002,MADDISON_IPO,,,,
ECU,1828,,,584.2666626,MADDISON_IPO,,,,
GRC,1828,,,2488,MADDISON,,,,
COL,1828,,,1435.06665,MADDISON_IPO,,,,
CHL,1828,11045832,CHL DIAZ,924.0269775,MADDISON,,,,
AUS,1828,1700000,MITC,326,MADDISON,,,,
EGY,1829,,,4707.899902,MADDISON_IPO,,,,
NIC,1829,,,220.1999969,MADDISON_IPO,,,,
KHM,1829,,,2135,MADDISON_IPO,,,,
AUS,1829,1900000,MITC,326,MADDISON,,,,
AUTHUN,1829,,,3521,MADDISON,,,,
MEX,1829,,,6909.5,MADDISON_IPO,,,,
THA,1829,,,4834.5,MADDISON_IPO,,,,
DZA,1829,,,2884.659912,MADDISON_IPO,,,,
JOR,1829,,,225.8200073,MADDISON_IPO,,,,
CUB,1829,,,779.2999878,MADDISON_IPO,,,,
NZL,1829,,,100,MADDISON_IPO,,,,
CHL,1829,11148161,CHL DIAZ,944.4899902,MADDISON,,,,
HND,1829,,,199.5,MADDISON_IPO,,,,
JPN,1829,,,31296.67383,MADDISON,,,,
MYS,1829,,,359.8999939,MADDISON_IPO,,,,
OTTO,1829,,,10383.41992,MADDISON_IPO,,,,
ECU,1829,,,594.7999878,MADDISON_IPO,,,,
GRC,1829,,,2511,MADDISON,,,,
ZOLL,1829,232957184,DEU FREMDLING,27807,MADDISON,,,,
CHE,1829,,,2088,MADDISON,,,,
BGR,1829,,,2280.899902,MADDISON_IPO,,,,
LAO,1829,,,521.2999878,MADDISON_IPO,,,,
NOR,1829,6984199.5,MADGOOD,1108,MADDISON,,,,
PRI,1829,,,322.1000061,MADDISON_IPO,,,,
FIN,1829,,,1343,MADDISON,,,,
DOM,1829,,,106.0999985,MADDISON_IPO,,,,
BEL,1829,,,3717,MADDISON,,,,
MNG,1829,,,627.8200073,MADDISON_IPO,,,,
GBR,1829,373004000,GBR BROADBERRY,23847,MADDISON,GBR BROADBERRY,GBR BROADBERRY,22.10000038,36.40000153
USSR,1829,,,60460.5,MADDISON_IPO,,,,
ROM,1829,,,6872.299805,MADDISON_IPO,,,,
GBRIND,1829,,,216703.3281,MADDISON,,,,
IRQ,1829,,,1180.660034,MADDISON_IPO,,,,
POL,1829,,,11198.2002,MADDISON_IPO,,,,
HUN,1829,,,4450.5,MADDISON_IPO,,,,
PHL,1829,,,2606.800049,MADDISON_IPO,,,,
TUN,1829,,,929.1799927,MADDISON_IPO,,,,
IRL,1829,,,7755,MADDISON,,,,
DNK,1829,9787097,MITC,1270,MADDISON,,,,
TWN,1829,,,2060,MADDISON_IPO,,,,
LBN,1829,,,357.9200134,MADDISON_IPO,,,,
URY,1829,,,78.09999847,MADDISON_IPO,,,,
ITA,1829,,,21376,MADDISON,,,,
CAN,1829,,,1133.699951,MADDISON_IPO,,,,
CRI,1829,,,74.40000153,MADDISON_IPO,,,,
KOR,1829,,,9440,MADDISON_IPO,,,,
ADEN,1829,,,2637.459961,MADDISON_IPO,,,,
LBY,1829,,,567.3057251,MADDISON_IPO,,,,
COL,1829,,,1463.699951,MADDISON_IPO,,,,
SLV,1829,,,283.3999939,MADDISON_IPO,,,,
PRT,1829,36210768,PRT PALMA,3472,MADDISON,,,,
MMR,1829,,,3633.800049,MADDISON_IPO,,,,
CHN,1829,,,406109.8125,MADDISON,,,,
VEN,1829,,,899.7999878,MADDISON_IPO,,,,
PRK,1829,,,4374.879883,MADDISON_IPO,,,,
JAM,1829,,,400.3999939,MADDISON_IPO,,,,
USA,1829,191300992,USA MEASURING,12906.41602,MADDISON,,,,
ARG,1829,,,703.7999878,MADDISON_IPO,,,,
LKA,1829,,,1514.199951,MADDISON_IPO,,,,
PAN,1829,,,40.5,MADDISON_IPO,,,,
PER,1829,,,1522.199951,MADDISON_IPO,,,,
NPL,1829,,,4022.300049,MADDISON_IPO,,,,
OMN,1829,,,326.8200073,MADDISON_IPO,,,,
ESP,1829,86072168,ESP ALVAREZ,12955,MADDISON,,,,
SGP,1829,,,37.79999924,MADDISON_IPO,,,,
AFG,1829,,,3446.860107,MADDISON_IPO,,,,
PRY,1829,,,205.1000061,MADDISON_IPO,,,,
SOM,1829,,,1099.549072,MADDISON_IPO,,,,
HTI,1829,,,787.5,MADDISON_IPO,,,,
IDN,1829,,,19312.71484,MADDISON,,,,
NLD,1829,39520748,GGDC,2610,MADDISON,GGDC,GGDC,23.16856194,29.01288605
MAR,1829,,,2884.659912,MADDISON_IPO,,,,
SDN,1829,,,5356.433594,MADDISON_IPO,,,,
SAU,1829,,,2135.459961,MADDISON_IPO,,,,
ALB,1829,,,455.8999939,MADDISON_IPO,,,,
MOZ,1829,,,2383.615234,MADDISON_IPO,,,,
SWE,1829,20349462,SWE EDVINSSON,2855,MADDISON,GGDC,GGDC,39.50837326,18.05123901
BRA,1829,,,5325.100098,MADDISON_IPO,,,,
HKG,1829,,,23.89999962,MADDISON_IPO,,,,
MDG,1829,,,1886.361084,MADDISON_IPO,,,,
SYR,1829,,,1381.099976,MADDISON_IPO,,,,
BOL,1829,,,1182.199951,MADDISON_IPO,,,,
TTO,1829,,,66,MADDISON_IPO,,,,
GTM,1829,,,671.5,MADDISON_IPO,,,,
IRN,1829,,,6893.899902,MADDISON_IPO,,,,
FRA,1829,442049920,FRA TOUTAIN,33108,MADDISON,GGDC,GGDC,40.48151016,37.98387146
VNM,1829,,,7266.859863,MADDISON_IPO,,,,
ZAF,1829,,,1729.459961,MADDISON_IPO,,,,
DOM,1830,,,108,MADDISON_IPO,,,,
TWN,1830,,,2066.666748,MADDISON_IPO,,,,
THA,1830,,,4853.333496,MADDISON_IPO,,,,
HKG,1830,,,24.33333397,MADDISON_IPO,,,,
TUN,1830,,,935.2000122,MADDISON_IPO,,,,
NPL,1830,,,4038,MADDISON_IPO,,,,
BEL,1830,,,3750,MADDISON,,,,
PHL,1830,,,2654.666748,MADDISON_IPO,,,,
OTTO,1830,,,10417.7998,MADDISON_IPO,,,,
PRY,1830,,,212,MADDISON_IPO,,,,
CAN,1830,,,1169,MADDISON,,,,
ROM,1830,,,6926,MADDISON_IPO,,,,
KHM,1830,,,2140,MADDISON_IPO,,,,
PER,1830,,,1545,MADDISON_IPO,,,,
CRI,1830,,,75.66666412,MADDISON_IPO,,,,
MEX,1830,,,6945.333496,MADDISON_IPO,,,,
GBR,1830,389958176,GBR BROADBERRY,24139,MADDISON,GBR BROADBERRY,GBR BROADBERRY,22.10000038,36.40000153
LKA,1830,,,1547.666626,MADDISON_IPO,,,,
FRA,1830,445800672,FRA TOUTAIN,33300,MADDISON,GGDC,GGDC,40.02363968,38.76553726
ALB,1830,,,458,MADDISON_IPO,,,,
DNK,1830,10113698,MITC,1273,MADDISON,,,,
JPN,1830,,,31329.8125,MADDISON,,,,
IRQ,1830,,,1190.400024,MADDISON_IPO,,,,
CUB,1830,,,798.666687,MADDISON_IPO,,,,
CHE,1830,,,2100,MADDISON,,,,
HUN,1830,,,4484.333496,MADDISON_IPO,,,,
GBRIND,1830,,,217576.5781,MADDISON,,,,
CHN,1830,,,409000,MADDISON,,,,
PAN,1830,,,45,MADDISON_IPO,,,,
POL,1830,,,11284,MADDISON_IPO,,,,
GRC,1830,,,2534,MADDISON,,,,
SLV,1830,,,287.3333435,MADDISON_IPO,,,,
BOL,1830,,,1191.333374,MADDISON_IPO,,,,
URY,1830,,,80.66666412,MADDISON_IPO,,,,
PRK,1830,,,4378.200195,MADDISON_IPO,,,,
ITA,1830,,,21513,MADDISON,,,,
AUS,1830,2200000,MITC,330,MADDISON,,,,
MDG,1830,,,1908.956665,MADDISON_IPO,,,,
COL,1830,,,1492.333374,MADDISON_IPO,,,,
CHL,1830,11122242,CHL DIAZ,965.1729736,MADDISON,,,,
ZOLL,1830,247163488,DEU FREMDLING,28045,MADDISON,,,,
PRI,1830,,,330.3333435,MADDISON_IPO,,,,
SDN,1830,,,5378.704102,MADDISON_IPO,,,,
FIN,1830,,,1364,MADDISON,,,,
BRA,1830,,,5416,MADDISON_IPO,,,,
SGP,1830,,,38.66666794,MADDISON_IPO,,,,
ESP,1830,94319656,ESP ALVAREZ,13041,MADDISON,,,,
TTO,1830,,,66.66666412,MADDISON_IPO,,,,
EGY,1830,,,4765,MADDISON_IPO,,,,
ECU,1830,,,605.333313,MADDISON_IPO,,,,
LAO,1830,,,527,MADDISON_IPO,,,,
MOZ,1830,,,2415.57251,MADDISON_IPO,,,,
MAR,1830,,,2906.399902,MADDISON_IPO,,,,
USSR,1830,,,61093.33203,MADDISON_IPO,,,,
ADEN,1830,,,2642.399902,MADDISON_IPO,,,,
LBN,1830,,,360.7999878,MADDISON_IPO,,,,
MMR,1830,,,3648,MADDISON_IPO,,,,
KOR,1830,,,9445,MADDISON_IPO,,,,
PRT,1830,34085844,PRT PALMA,3491,MADDISON,,,,
NIC,1830,,,224,MADDISON_IPO,,,,
JAM,1830,,,400.3333435,MADDISON_IPO,,,,
IDN,1830,,,19473.14844,MADDISON,,,,
MYS,1830,,,368,MADDISON_IPO,,,,
AFG,1830,,,3465.399902,MADDISON_IPO,,,,
OMN,1830,,,327.7999878,MADDISON_IPO,,,,
NLD,1830,37565696,GGDC,2633,MADDISON,GGDC,GGDC,23.97319984,29.20371628
NOR,1830,7290400.5,NOR HIST STAT,1124,MADDISON,,,,
NZL,1830,,,100,MADDISON,,,,
SAU,1830,,,2140.399902,MADDISON_IPO,,,,
JOR,1830,,,226.8000031,MADDISON_IPO,,,,
MNG,1830,,,628.7999878,MADDISON_IPO,,,,
IRN,1830,,,6931,MADDISON_IPO,,,,
SOM,1830,,,1110.610107,MADDISON_IPO,,,,
ARG,1830,,,722.666687,MADDISON_IPO,,,,
GTM,1830,,,680,MADDISON_IPO,,,,
HND,1830,,,206.6666718,MADDISON_IPO,,,,
SYR,1830,,,1386,MADDISON_IPO,,,,
AUTHUN,1830,,,3538,MADDISON,,,,
VNM,1830,,,7346.399902,MADDISON_IPO,,,,
LBY,1830,,,570.5619507,MADDISON_IPO,,,,
HTI,1830,,,794.666687,MADDISON_IPO,,,,
VEN,1830,,,920,MADDISON_IPO,,,,
ZAF,1830,,,1749.400024,MADDISON_IPO,,,,
SWE,1830,19667774,SWE EDVINSSON,2876,MADDISON,GGDC,GGDC,41.20033264,16.67632675
USA,1830,214620016,USA MEASURING,13240.31348,MADDISON,,,,
DZA,1830,,,2906.399902,MADDISON_IPO,,,,
IRL,1830,,,7827,MADDISON,,,,
BGR,1830,,,2291.333252,MADDISON_IPO,,,,
COL,1831,,,1520.966675,MADDISON_IPO,,,,
ZOLL,1831,277738944,DEU FREMDLING,28283,MADDISON,,,,
NZL,1831,,,97,MADDISON_IPO,,,,
LBN,1831,,,363.6799927,MADDISON_IPO,,,,
MMR,1831,,,3662.199951,MADDISON_IPO,,,,
ALB,1831,,,460.1000061,MADDISON_IPO,,,,
ITA,1831,,,21652,MADDISON,,,,
IRQ,1831,,,1200.140015,MADDISON_IPO,,,,
MNG,1831,,,629.7800293,MADDISON_IPO,,,,
DNK,1831,10520740,MITC,1275,MADDISON,,,,
SWE,1831,20214474,SWE EDVINSSON,2895,MADDISON,GGDC,GGDC,39.16648483,18.37811852
VNM,1831,,,7425.939941,MADDISON_IPO,,,,
CHN,1831,,,409299,MADDISON,,,,
TWN,1831,,,2073.333252,MADDISON_IPO,,,,
SGP,1831,,,39.53333282,MADDISON_IPO,,,,
CRI,1831,,,76.93333435,MADDISON_IPO,,,,
CHE,1831,,,2112,MADDISON,,,,
FIN,1831,,,1374,MADDISON,,,,
HND,1831,,,213.8333282,MADDISON_IPO,,,,
NPL,1831,,,4053.699951,MADDISON_IPO,,,,
IRL,1831,,,7900,MADDISON,,,,
ARG,1831,,,741.5333252,MADDISON_IPO,,,,
GRC,1831,,,2557,MADDISON,,,,
AUS,1831,2300000,MITC,333,MADDISON,,,,
FRA,1831,439068832,FRA TOUTAIN,33439,MADDISON,GGDC,GGDC,40.96315002,36.72850418
PRY,1831,,,218.8999939,MADDISON_IPO,,,,
URY,1831,,,83.23332977,MADDISON_IPO,,,,
PRI,1831,,,338.5666809,MADDISON_IPO,,,,
KOR,1831,,,9450,MADDISON_IPO,,,,
TUN,1831,,,941.2199707,MADDISON_IPO,,,,
CHL,1831,11456798,CHL DIAZ,986.0560303,MADDISON,,,,
GBRIND,1831,,,218453.3594,MADDISON,,,,
MOZ,1831,,,2447.529785,MADDISON_IPO,,,,
PER,1831,,,1567.800049,MADDISON_IPO,,,,
GTM,1831,,,688.5,MADDISON_IPO,,,,
BEL,1831,,,3782,MADDISON,,,,
IDN,1831,,,19634.91602,MADDISON,,,,
TTO,1831,,,67.33333588,MADDISON_IPO,,,,
ADEN,1831,,,2647.340088,MADDISON_IPO,,,,
KHM,1831,,,2145,MADDISON_IPO,,,,
GBR,1831,382154464,GBR BROADBERRY,24433,MADDISON,GBR BROADBERRY,GBR BROADBERRY,22.10000038,36.40000153
EGY,1831,,,4822.100098,MADDISON_IPO,,,,
PRK,1831,,,4381.52002,MADDISON_IPO,,,,
AUTHUN,1831,,,3555,MADDISON,,,,
HTI,1831,,,801.833313,MADDISON_IPO,,,,
PHL,1831,,,2702.533447,MADDISON_IPO,,,,
CAN,1831,,,1221.800049,MADDISON_IPO,,,,
MDG,1831,,,1931.552368,MADDISON_IPO,,,,
MAR,1831,,,2928.139893,MADDISON_IPO,,,,
HKG,1831,,,24.76666641,MADDISON_IPO,,,,
VEN,1831,,,940.2000122,MADDISON_IPO,,,,
SYR,1831,,,1390.900024,MADDISON_IPO,,,,
BRA,1831,,,5506.899902,MADDISON_IPO,,,,
USA,1831,216501600,USA MEASURING,13658.58008,MADDISON,,,,
LAO,1831,,,532.7000122,MADDISON_IPO,,,,
BGR,1831,,,2301.766602,MADDISON_IPO,,,,
LBY,1831,,,573.8181152,MADDISON_IPO,,,,
PRT,1831,34893520,PRT PALMA,3512,MADDISON,,,,
OMN,1831,,,328.7799988,MADDISON_IPO,,,,
MYS,1831,,,376.1000061,MADDISON_IPO,,,,
ROM,1831,,,6979.700195,MADDISON_IPO,,,,
DOM,1831,,,109.9000015,MADDISON_IPO,,,,
HUN,1831,,,4518.166504,MADDISON_IPO,,,,
DZA,1831,,,2928.139893,MADDISON_IPO,,,,
BOL,1831,,,1200.466675,MADDISON_IPO,,,,
NLD,1831,43049992,GGDC,2653,MADDISON,GGDC,GGDC,25.0898304,26.06230354
ECU,1831,,,615.8666382,MADDISON_IPO,,,,
NIC,1831,,,227.8000031,MADDISON_IPO,,,,
POL,1831,,,11369.7998,MADDISON_IPO,,,,
THA,1831,,,4872.166504,MADDISON_IPO,,,,
IRN,1831,,,6968.100098,MADDISON_IPO,,,,
PAN,1831,,,49.5,MADDISON_IPO,,,,
LKA,1831,,,1581.133301,MADDISON_IPO,,,,
JOR,1831,,,227.7799988,MADDISON_IPO,,,,
SAU,1831,,,2145.340088,MADDISON_IPO,,,,
NOR,1831,7780507.5,NOR HIST STAT,1137,MADDISON,,,,
CUB,1831,,,818.0333252,MADDISON_IPO,,,,
SDN,1831,,,5400.974121,MADDISON_IPO,,,,
JAM,1831,,,400.2666626,MADDISON_IPO,,,,
ZAF,1831,,,1769.339966,MADDISON_IPO,,,,
ESP,1831,105358176,ESP ALVAREZ,13128,MADDISON,,,,
MEX,1831,,,6981.166504,MADDISON_IPO,,,,
SOM,1831,,,1121.671143,MADDISON_IPO,,,,
USSR,1831,,,61726.16797,MADDISON_IPO,,,,
JPN,1831,,,31362.98633,MADDISON,,,,
OTTO,1831,,,10452.17969,MADDISON_IPO,,,,
AFG,1831,,,3483.939941,MADDISON_IPO,,,,
SLV,1831,,,291.2666626,MADDISON_IPO,,,,
MEX,1832,,,7017,MADDISON_IPO,,,,
USSR,1832,,,62359,MADDISON_IPO,,,,
ALB,1832,,,462.2000122,MADDISON_IPO,,,,
ADEN,1832,,,2652.280029,MADDISON_IPO,,,,
MDG,1832,,,1954.148071,MADDISON_IPO,,,,
ITA,1832,,,21791,MADDISON,,,,
PRI,1832,,,346.7999878,MADDISON_IPO,,,,
PRT,1832,37564856,PRT PALMA,3532,MADDISON,,,,
SWE,1832,19776060,SWE EDVINSSON,2912,MADDISON,GGDC,GGDC,41.77798843,16.88897514
MMR,1832,,,3676.399902,MADDISON_IPO,,,,
USA,1832,232348176,USA MEASURING,14077.88965,MADDISON,,,,
MYS,1832,,,384.2000122,MADDISON_IPO,,,,
PRK,1832,,,4384.839844,MADDISON_IPO,,,,
DOM,1832,,,111.8000031,MADDISON_IPO,,,,
TTO,1832,,,68,MADDISON_IPO,,,,
EGY,1832,,,4879.200195,MADDISON_IPO,,,,
CHL,1832,11368548,CHL DIAZ,1007.119995,MADDISON,,,,
PAN,1832,,,54,MADDISON_IPO,,,,
LKA,1832,,,1614.599976,MADDISON_IPO,,,,
ECU,1832,,,626.4000244,MADDISON_IPO,,,,
MAR,1832,,,2949.879883,MADDISON_IPO,,,,
OTTO,1832,,,10486.55957,MADDISON_IPO,,,,
JAM,1832,,,400.2000122,MADDISON_IPO,,,,
BRA,1832,,,5597.799805,MADDISON_IPO,,,,
LBY,1832,,,577.0742798,MADDISON_IPO,,,,
THA,1832,,,4891,MADDISON_IPO,,,,
ARG,1832,,,760.4000244,MADDISON_IPO,,,,
SLV,1832,,,295.2000122,MADDISON_IPO,,,,
PHL,1832,,,2750.399902,MADDISON_IPO,,,,
VNM,1832,,,7505.47998,MADDISON_IPO,,,,
KHM,1832,,,2150,MADDISON_IPO,,,,
BOL,1832,,,1209.599976,MADDISON_IPO,,,,
BEL,1832,,,3814,MADDISON,,,,
